customer_id,first_name,last_name,email,phone_number,full_address,postal_code,default_credit_card_num,default_credit_card_type
1,John,Smith,john.smith1@example.com,123.456.7890,123 Main St,A1B2C3,4111111111111111,MC
2,Jane,Johnson,jane.johnson2@example.com,234.567.8901,456 Oak Ave,D4E5F6,5500000000000004,VS
3,Alex,Brown,alex.brown3@example.com,345.678.9012,789 Pine Rd,G7H8I9,340000000000009,AX
4,Emily,Taylor,emily.taylor4@example.com,456.789.0123,101 Maple Dr,J1K2L3,4111111111111111,MC
5,Michael,Anderson,michael.anderson5@example.com,567.890.1234,202 Cedar Ln,M4N5O6,5500000000000004,VS
6,Sarah,Thomas,sarah.thomas6@example.com,678.901.2345,303 Elm St,P7Q8R9,340000000000009,AX
7,Chris,Jackson,chris.jackson7@example.com,789.012.3456,404 Birch Blvd,S1T2U3,4111111111111111,MC
8,Olivia,White,olivia.white8@example.com,890.123.4567,505 Spruce Ct,V4W5X6,5500000000000004,VS
9,David,Harris,david.harris9@example.com,901.234.5678,606 Main St,Y7Z8A9,340000000000009,AX
10,Sophia,Martin,sophia.martin10@example.com,123.345.6789,707 Oak Ave,B1C2D3,4111111111111111,MC
11,John,Smith,john.smith11@example.com,234.456.7890,808 Pine Rd,E4F5G6,5500000000000004,VS
12,Jane,Johnson,jane.johnson12@example.com,345.567.8901,909 Maple Dr,H7I8J9,340000000000009,AX
13,Alex,Brown,alex.brown13@example.com,456.678.9012,1010 Cedar Ln,K1L2M3,4111111111111111,MC
14,Emily,Taylor,emily.taylor14@example.com,567.789.0123,1111 Elm St,N4O5P6,5500000000000004,VS
15,Michael,Anderson,michael.anderson15@example.com,678.890.1234,1212 Birch Blvd,Q7R8S9,340000000000009,AX
16,Sarah,Thomas,sarah.thomas16@example.com,789.901.2345,1313 Spruce Ct,T1U2V3,4111111111111111,MC
17,Chris,Jackson,chris.jackson17@example.com,890.012.3456,1414 Main St,W4X5Y6,5500000000000004,VS
18,Olivia,White,olivia.white18@example.com,901.123.4567,1515 Oak Ave,Z7A8B9,340000000000009,AX
19,David,Harris,david.harris19@example.com,123.234.5678,1616 Pine Rd,C1D2E3,4111111111111111,MC
20,Sophia,Martin,sophia.martin20@example.com,234.345.6789,1717 Maple Dr,F4G5H6,5500000000000004,VS
21,John,Smith,john.smith21@example.com,345.456.7890,1818 Cedar Ln,J7K8L9,340000000000009,AX
22,Jane,Johnson,jane.johnson22@example.com,456.567.8901,1919 Elm St,M1N2O3,4111111111111111,MC
23,Alex,Brown,alex.brown23@example.com,567.678.9012,2020 Birch Blvd,P4Q5R6,5500000000000004,VS
24,Emily,Taylor,emily.taylor24@example.com,678.789.0123,2121 Spruce Ct,T7U8V9,340000000000009,AX
25,Michael,Anderson,michael.anderson25@example.com,789.890.1234,2222 Main St,Y1Z2A3,4111111111111111,MC
26,Sarah,Thomas,sarah.thomas26@example.com,890.901.2345,2323 Oak Ave,D4E5F6,5500000000000004,VS
27,Chris,Jackson,chris.jackson27@example.com,901.012.3456,2424 Pine Rd,G7H8I9,340000000000009,AX
28,Olivia,White,olivia.white28@example.com,123.123.4567,2525 Maple Dr,J1K2L3,4111111111111111,MC
29,David,Harris,david.harris29@example.com,234.234.5678,2626 Cedar Ln,M4N5O6,5500000000000004,VS
30,Sophia,Martin,sophia.martin30@example.com,345.345.6789,2727 Elm St,P7Q8R9,340000000000009,AX
31,John,Smith,john.smith31@example.com,456.456.7890,2828 Birch Blvd,S1T2U3,4111111111111111,MC
32,Jane,Johnson,jane.johnson32@example.com,567.567.8901,2929 Spruce Ct,V4W5X6,5500000000000004,VS
33,Alex,Brown,alex.brown33@example.com,678.678.9012,3030 Main St,Y7Z8A9,340000000000009,AX
34,Emily,Taylor,emily.taylor34@example.com,789.789.0123,3131 Oak Ave,B1C2D3,4111111111111111,MC
35,Michael,Anderson,michael.anderson35@example.com,890.890.1234,3232 Pine Rd,E4F5G6,5500000000000004,VS
36,Sarah,Thomas,sarah.thomas36@example.com,901.901.2345,3333 Maple Dr,H7I8J9,340000000000009,AX
37,Chris,Jackson,chris.jackson37@example.com,123.012.3456,3434 Cedar Ln,K1L2M3,4111111111111111,MC
38,Olivia,White,olivia.white38@example.com,234.123.4567,3535 Elm St,N4O5P6,5500000000000004,VS
39,David,Harris,david.harris39@example.com,345.234.5678,3636 Birch Blvd,Q7R8S9,340000000000009,AX
40,Sophia,Martin,sophia.martin40@example.com,456.345.6789,3737 Spruce Ct,T1U2V3,4111111111111111,MC
41,John,Smith,john.smith41@example.com,567.456.7890,3838 Main St,W4X5Y6,5500000000000004,VS
42,Jane,Johnson,jane.johnson42@example.com,678.567.8901,3939 Oak Ave,Z7A8B9,340000000000009,AX
43,Alex,Brown,alex.brown43@example.com,789.678.9012,4040 Pine Rd,C1D2E3,4111111111111111,MC
44,Emily,Taylor,emily.taylor44@example.com,890.789.0123,4141 Maple Dr,F4G5H6,5500000000000004,VS
45,Michael,Anderson,michael.anderson45@example.com,901.890.1234,4242 Cedar Ln,J7K8L9,340000000000009,AX
46,Sarah,Thomas,sarah.thomas46@example.com,123.901.2345,4343 Elm St,M1N2O3,4111111111111111,MC
47,Chris,Jackson,chris.jackson47@example.com,234.012.3456,4444 Birch Blvd,P4Q5R6,5500000000000004,VS
48,Olivia,White,olivia.white48@example.com,345.123.4567,4545 Spruce Ct,T7U8V9,340000000000009,AX
49,David,Harris,david.harris49@example.com,456.234.5678,4646 Main St,Y1Z2A3,4111111111111111,MC
50,Sophia,Martin,sophia.martin50@example.com,567.345.6789,4747 Oak Ave,D4E5F6,5500000000000004,VS
51,John,Smith,john.smith51@example.com,678.456.7890,4848 Pine Rd,G7H8I9,340000000000009,AX
52,Jane,Johnson,jane.johnson52@example.com,789.567.8901,4949 Maple Dr,J1K2L3,4111111111111111,MC
